Cleaned Semester Data,,,,,,,,,,,,
,,,,,,,,,,,,
Subject,Catalog Nbr,Section,Class Nbr,Course Title,Component,Units,Bldg,Room,Days,Time,Instructor,Attributes
AMST,994,5,4312,DOCT RESEARCH AND DISSERTATION,Lecture,3,TBA,TBA,TBA,TBA,"ROBINSON,MIRIAM MICHELLE ",
AMST,994,6,4313,DOCT RESEARCH AND DISSERTATION,Lecture,3,TBA,TBA,TBA,TBA,"Berlinger,Gabrielle Anna ",
AMST,994,7,4314,DOCT RESEARCH AND DISSERTATION,Lecture,3,TBA,TBA,TBA,TBA,"HINSON,GLENN D ",
AMST,994,8,5723,DOCT RESEARCH AND DISSERTATION,Lecture,3,,TBA,,,,
AMST,994,9,15619,DOCT RESEARCH AND DISSERTATION,Lecture,3,TBA,TBA,TBA,TBA,,
CHER,102,1,5937,CHEROKEE LANGUAGE II,Lecture,3,Greenlaw,301,MWF,11:15 - 12:05,"Frey,Benjamin Elliott ",
FOLK,202,1,14048,EVERYDAY CULTURES,Lecture,3,Murphey,116,MW,11:15 - 12:05,"SAWIN,PATRICIA E ","SS- Social and Behavioral Science, US- U.S. Diversity, IDEA - Aesthetic and Interpretive Analysis, IDEA - Ways of Knowing Combined Section ID: 1339(engl/anth/folk202.001) - ENGL 202(#14041), ANTH 202(#14056)"
FOLK,202,601,14049,EVERYDAY CULTURES,Recitation,3,Tate Turner Kuralt ,116,,," George,Grace Spencer","SS- Social and Behavioral Science, US- U.S. Diversity, IDEA - Aesthetic and Interpretive Analysis, IDEA - Ways of Knowing Combined Section ID: 1340(engl/anth/folk202.601) - ENGL 202(#14042), ANTH 202(#14057)"
FOLK,202,602,14050,EVERYDAY CULTURES,Recitation,3,Tate Turner Kuralt ,116,,," George,Grace Spencer","SS- Social and Behavioral Science, US- U.S. Diversity, IDEA - Aesthetic and Interpretive Analysis, IDEA - Ways of Knowing Combined Section ID: 1341(engl/anth/folk202.602) - ENGL 202(#14043), ANTH 202(#14058)"
FOLK,202,603,14051,EVERYDAY CULTURES,Recitation,3,Phillips,220,F,09:05 - 09:55," Green,Ari Annise","SS- Social and Behavioral Science, US- U.S. Diversity, IDEA - Aesthetic and Interpretive Analysis, IDEA - Ways of Knowing Combined Section ID: 1342(engl/anth/folk202.603) - ENGL 202(#14044), ANTH 202(#14059)"
FOLK,375,1,9908,SOUTHERN FOOD STUDIES,Lecture,3,Peabody,3050,TuTh,14:00 - 15:15," Alexander,Kelly","SS- Social and Behavioral Science, US- U.S. Diversity, IDEA - Ways of Knowing, IDEA - Power, Difference, and Inequality Combined Section ID: 1099(amst/folk375.001) - AMST 375(#9907)"
FOLK,424,1,5951,"RITUAL, FESTIVAL & PUBLIC CULT",Lecture,3,Murphey,204,MW,11:15 - 12:30," Berlinger,Gabrielle Anna","Collaborative Online International Learning - COIL, SS- Social and Behavioral Science, E4- Field Work, IDEA - Ways of Knowing, IDEA - Ethical an"
FOLK,470,1,5557,MEDICINE & ANTHRO,Lecture,3,Global Center,1005,MWF,10:10 - 11:00,,SS- Social and Behavioral Science
FOLK,470,602,13536,MEDICINE & ANTHRO,Recitation,3,Alumni,308,M,11:15 - 12:05,"Mackessy,Julia Ann ",SS- Social and Behavioral Science
FOLK,470,603,13537,MEDICINE & ANTHRO,Recitation,3,Alumni,308,M,12:20 - 13:10,"Mackessy,Julia Ann ",SS- Social and Behavioral Science
FOLK,481,1,14066,JEWISH MATERIAL CULTURE,Lecture,3,Greenlaw,301,M,14:30 - 17:30," Berlinger,Gabrielle Anna","VP- Visual or Performing Arts, E4- Field Work, US- U.S. Diversity, IDEA - Aesthetic and Interpretive Analysis, IDEA-Creative Expression, Practic"
FOLK,860,1,14040,ART OF ETHNOGRAPHY,Lecture,3,Greenlaw,103,TuTh,14:00 - 15:15,"HINSON,GLENN D ",
FOLK,895,1,4842,DIRECTED READINGS,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
FOLK,993,1,3500,MASTER'S RESEARCH AND THESIS ,Lecture,3,TBA,TBA,TBA,TBA,"SAWIN,PATRICIA E ",
FOLK,993,2,2881,MASTER'S RESEARCH AND THESIS ,Lecture,3,TBA,TBA,TBA,TBA,"HINSON,GLENN D ",
FOLK,993,3,2880,MASTER'S RESEARCH AND THESIS ,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
FOLK,993,4,1843,MASTER'S RESEARCH AND THESIS ,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
FOLK,993,5,3966,MASTER'S RESEARCH AND THESIS ,Lecture,3,TBA,TBA,TBA,TBA,Staff ,
ANTH,70,1,12989,RACE AND RECKONING IN NC,Lecture,3,Genome Sciences Buil,TBA,,,"HINSON,GLENN D ",
ANTH,101,600,1872,GEN ANTHROPOLOGY,Recitation,3,Alumni,203,Tu,08:00 - 08:50," Prout,Caroline Anne","GR1 SS- Social and Behavioral Science, GL- Global Issues, IDEA - Ways of Knowing"
ANTH,101,601,2057,GEN ANTHROPOLOGY,Recitation,3,Dey Hall,204,Tu,09:30 - 10:20," Prout,Caroline Anne","GR1 SS- Social and Behavioral Science, GL- Global Issues, IDEA - Ways of Knowing"
ANTH,101,602,2058,GEN ANTHROPOLOGY,Recitation,3,Alumni,308,Tu,15:30 - 16:20," Prout,Caroline Anne","GR1 SS- Social and Behavioral Science, GL- Global Issues, IDEA - Ways of Knowing"
ANTH,101,604,2062,GEN ANTHROPOLOGY,Recitation,3,Murphey,302,Tu,15:30 - 16:20," Rojas Jr,Alfredo Jose","GR1 SS- Social and Behavioral Science, GL- Global Issues, IDEA - Ways of Knowing"
ANTH,101,608,5774,GEN ANTHROPOLOGY,Recitation,3,Murphey,220,Th,12:30 - 13:20," Rojas Jr,Alfredo Jose","GR1 SS- Social and Behavioral Science, GL- Global Issues, IDEA - Ways of Knowing"
ANTH,102,1,5409,CULTURAL ANTH,Lecture,3,Phillips,335,MWF,13:25 - 14:15,"LAMBERT,VALERIE L ",
